Code	Error	Description
1000E	EAS_ERR_UNHANDLED_DATABASE_ERROR    	Unhandled Database Error '{0}'
1001E	EAS_ERR_CRITICAL_DATABASE_ERROR    	Critical Database Error '{0}'
1002E	EAS_ERR_DATABASE_MEMORY_ERROR     	Database Memory Error '{0}'
1003E	EAS_ERR_TABLE_SPACE_OR_LOG_VIOLATION	Table Space or Log Violation '{0}'
1004E	EAS_ERR_RESOURCE_CONTENTION       	Resource Contention '{0}'
1005E	EAS_ERR_USER_DEFINED_PROC_ERROR     	User Defined Procedure or Function Error '{0}'
1006E	EAS_ERR_DATABASE_CONNECTION_FAILURE	Database Connection Failure '{0}'
1007E	EAS_ERR_DATABASE_CONNECTION_LOST     	Database Connection Lost '{0}'
1008E	EAS_ERR_DEADLOCK_ERROR             	Deadlock Error '{0}'
1009E	EAS_ERR_INSUFFICIENT_PERMISSIONS	Insufficient Permissions '{0}'
1010E	EAS_ERR_TRANSACTION_ERROR         	Transaction Error '{0}'
1011E	EAS_ERR_UNIQUE_CONSTRAINT_VIOLATION 	Unique Constraint Violation '{0}'
1012E	EAS_ERR_CONSTRAINT_VIOLATION        	Constraint Violation '{0}'
1013E	EAS_ERR_SYNTAX_ERROR              	Syntax Error '{0}'
1014E	EAS_ERR_CURSOR_ERROR               	Cursor Error '{0}'
1015E	EAS_ERR_DATATYPE_ERROR               	Data Type Error '{0}'
1020E	EAS_ERR_LANG_ERROR	Wrong $LANG definition: {0}
1810E	EAS_ERR_STOP_DUE_TO_UMF_EXCEPTIONS 	Stopping Due to UMF Exceptions.
1815E	EAS_ERR_NO_DRIVER_FOR_ADDRESS_STANDARDIZER_URL	No driver for address standardizer url[{0}]
1816E	EAS_ERR_NO_DRIVER_FOR_CME_SOURCE_URL	No driver for cme source url [{0}]
1817E	EAS_ERR_NO_DRIVER_FOR_URL	No driver for url [{0}]
1818E	EAS_ERR_DQM_ERROR 	DQM Error processing message
1819E	EAS_ERR_CME_NODE_INIT_FAIL 	CME Node Initialization Failed
7101E	EAS_ERR_Q_UNHANDLED_EXCEPTION 	Unhandled exception in queue object
7102E	EAS_ERR_Q_LOOKUP_FAILURE 	Could not look up queue, please make certain MSMQ is enabled on this node.
7103E	EAS_ERR_Q_INVALID_LABEL 	Invalid Queue Label.
7104E	EAS_ERR_Q_NAME_DOESNT_EXIST	Queue Name {0} does not exist
7105E	EAS_ERR_Q_LABEL_NAME_CONVERSION_FAILURE	Failed to convert queue label name [{0}]
7106E	EAS_ERR_Q_FUNC_FIND_FAIL	Failed to find function: {0}
7106E	EAS_ERR_Q_MODULE_LOAD_FAIL 	Failed to load MQM module {0}
7201E	EAS_ERR_INVALID_COLUMN_NAME          	Invalid column name
7205E	EAS_ERR_DB_TABLE_INFO	Cannot retrieve table info for table [{0}]
7207E	EAS_ERR_DB_BAD_MSSQL_VER             	Unsupported MSSQL Version
7208E	EAS_ERR_DB_CREATE_ON_INVALID_CONN    	Can't create statement on invalid connection.
7209E	EAS_ERR_DB_BAD_BACKEND_TYPE          	Invalid [SQL] Backend Parameter. Valid values are SQL or HYBRID
7210E	EAS_ERR_DB_CANNOT_SHARD_CONFIG	Config tables cannot be configured to be sharded. TABLE[{0}]
7211E	EAS_ERR_DB_BAD_CLUSTER_SIZE	Cluster [{0}] is configured with an invalid size. Size must be greater than zero
7212E	EAS_ERR_DB_BAD_CLUSTER_NODE	Cluster [{0}] Node [{1}] is not configured.
7213E	EAS_ERR_DB_NO_SCHEMA_SPECIFIED       	A schema name must be specified when using a MySQL database.
7214E	EAS_ERR_DB_UNABLE_TO_FIND_CONFIG_VERSION 	Unable to find Configuration Version.
7215E	EAS_ERR_DB_UNABLE_TO_INC_CONFIG_VERSION 	Unable to increment Configuration Version following configuration change.
7216E	EAS_ERR_DB_BAD_CLUSTER_DEFINITION	Cluster [{0}] is not properly configured
7217E	EAS_ERR_DB_CONFLICTING_DEFAULT_SHARD_CONFIG 	Cannot specify both default backend database and default backend cluster
7218E	EAS_ERR_DB_CLUSTER_DOES_NOT_EXIST	Cluster [{0}] does not exist
7219E	EAS_ERR_ENGINE_CONFIGURATION_DOES_NOT_MATCH	Engine configuration '{0}' does not match '{1}'
7220E	EAS_ERR_NO_CONFIG_REGISTERED_IN_DATASTORE   	No engine configuration registered.
7221E	EAS_ERR_NO_CONFIG_REGISTERED_FOR_DATA_ID	No engine configuration registered with data ID [{0}].
7222E	EAS_ERR_FAILED_TO_SET_SYS_VAR_IN_DATASTORE	Could not set system variable value in database for Group[{0}],Code[{1}],Value[{2}].
7223E	EAS_ERR_INVALID_SCHEMA_VERSION_IN_DATASTORE	Invalid version number for datastore schema [version '{0}'].
7224E	EAS_ERR_INVALID_SCHEMA_VERSION_IN_ENGINE	Invalid version number for engine schema [version '{0}'].
7225E	EAS_ERR_INVALID_MININUM_DATASTORE_SCHEMA_VERSION	Invalid minimum datastore version number for engine schema [version '{0}'].
7226E	EAS_ERR_INCOMPATIBLE_DATASTORE_SCHEMA_VERSION	Incompatible datastore schema version: [Engine version '{0}'.  Datastore version '{1}' is installed but minimum of '{2}' is required.]
7227E	EAS_ERR_CONFLICTING_SCHEMA_VERSIONS_IN_DATASTORE	Conflicting version numbers for datastore schema [{0}].
7228E	EAS_ERR_INVALID_SCHEMA_VERSION	Invalid schema version number [version '{0}'].
9106E	EAS_ERR_FAILED_TO_OPEN_INITIALIZATION_FILE	Failed to open initialization file [{0}]
9107E	EAS_ERR_CANT_GET_PARAMETER_FROM_THE_STORE	Cannot get parameter [{0}] from parameter store
9108E	EAS_ERR_INI_VALUE_MUST_BE_OF_TYPE	The ini file value for [{0}] needs to be {1}
9109E	EAS_ERR_CORRUPT_CONFIG_FILE 	Corrupt configuration file.
9110E	EAS_ERR_INSUFFICIENT_CONFIG	Insufficient configuration for the {0} table!
9111E	EAS_ERR_PARSE_FRAGMENT	ERROR parsing FragmentID[{0}] FragmentName[{1}] : [{2}] is an invalid RuleID dependency
9112E	EAS_ERR_FAILED_TO_OPEN_INI_FILE_FOR_WRITING	Failed to open ini file for writing [{0}]
9113E	EAS_ERR_FAILED_TO_OPEN_INI_FILE_FOR_READING	Failed to open ini file for reading [{0}]
9205E	EAS_ERR_STAT_CANT_OPEN_FILE_FOR_WRITE 	Can't open shared file for statistics writing.
9206E	EAS_ERR_STAT_CANT_OPEN_SHM_FILE_FOR_WRITE 	Can't open shared file
9114E	EAS_ERR_FAILED_TO_READ_DATA_FROM_CONFIGURATION_FILE	Failed to read data from configuration file [{0}]
9115E	EAS_ERR_INPUT_NOT_STANDARDIZED 	Cannot process Observation that has not been standardized
9116E	EAS_ERR_CONFIG_TABLE_NOT_FOUND	CONFIG information for {0} not found!
9117E	EAS_ERR_CONFIG_TABLE_COLUMN_NOT_FOUND	CONFIG information for {0} not found in {1}!
9118E	EAS_ERR_CONFIG_TABLE_COLUMN_INDEX_NOT_FOUND	Invalid column index {0} queried from {1} container!
9118E	EAS_ERR_CONFIG_TABLE_COLUMN_NAME_NOT_FOUND	Invalid column name {0} queried from {1} container!
9207E	EAS_ERR_SALT_VALUE_ALREADY_EXISTS 	A salt value already exists and cannot be generated.
9208E	EAS_ERR_CONTEXT_INIT_FAILED 	Unable to initialize ICC Context.
9209E	EAS_ERR_CONTEXT_ERROR	ICC Context Error [{0}]
9210E	EAS_ERR_DIGEST_CONTEXT_INIT_FAILED 	Unable to initialize Digest Context.
9211E	EAS_ERR_ENCODE_CONTEXT_INIT_FAILED 	Unable to initialize Encoding Context.
9212E	EAS_ERR_CANNOT_OBTAIN_STATUS 	Unable to obtain ICC status.
9213E	EAS_ERR_CANNOT_CREATE_HASHER 	Unable to generate hashed data due to missing or invalid salt value.
9214E	EAS_ERR_MISSING_CHECKSUM 	The Salt Checksum is not present in the repository.
9215E	EAS_ERR_UNABLE_TO_ALLOCATE_MEMORY 	Unable to allocate memory.
9216E	EAS_ERR_MISSING_SALT 	Unable to locate Salt value.
9217E	EAS_ERR_INVALID_SALT 	Salt value provided is invalid.
9218E	EAS_ERR_UNABLE_TO_GENERATE_DIGEST 	Unable to generate Message Digest.
9219E	EAS_ERR_UNABLE_TO_GENERATE_SALT 	Unable to generate Salt Value.
9220E	EAS_ERR_FTYPE_CANNOT_BE_HASHED	FType configured to be hashed, but cannot be scored.  FTYPE_ID[{0}] FTYPE_CODE[{1}]
9222E	EAS_ERR_FTYPE_CONFIGURED_TO_BE_HASHED_MISSING_SALT	A Feature Type is marked for hashing, but a valid salt value was not found.  FTYPE_ID[{0}] FTYPE_CODE[{1}]
9223E	EAS_ERR_ENCODE_DECODE_FAILED 	Encoding/decoding failed
9224E	EAS_ERR_FTYPE_CONFIGURED_TO_BE_HASHED	FType configured to be hashed, but no hashable data found.  FTYPE_ID[{0}] FTYPE_CODE[{1}]
9225E	EAS_ERR_CANNOT_GET_G2CORE_INSTANCE 	Invalid instance returned by G2Core::GetInstance
9226E	EAS_ERR_SALT_ALREADY_USED 	Observation has already been hashed with current salt
9227E	EAS_ERR_SALT_CHECKUMS_LIST_EMPTY 	Salted check sum list empty !!!
9228E	EAS_ERR_UNEXPECTED_SALT_CHECKUM_LIST	The SALT checksum on the Observation does not match the EXPECTED SALT checksum: EXPECTED=[{0}] Observation=[{1}]
9240E	EAS_ERR_CIPHER_CONTEXT_INIT_FAILED 	Unable to initialize an ICC Context.
9241E	EAS_ERR_CIPHER_OP_FAILED 	Unable to perform a required ICC operation.
9250E	EAS_ERR_G2SS_INVALID_LIB	Invalid
9251E	EAS_ERR_G2SS_INVALID_URL	Invalid Secure Store URL: {0}
9252E	EAS_ERR_G2SS_INVALID_PIN	Invalid Secure Store credential specification: {0}
9253E	EAS_ERR_G2SS_TOKEN_INIT_FAILED	Secure Store token initialization failed: {0}.
9254E	EAS_ERR_G2SS_TOKEN_UNINITIALISED 	Cannot open a Secure Store session when the token is uninitialized.
9255E	EAS_ERR_G2SS_USER_PIN_UNINITIALISED 	Secure Store credential is uninitialized.
9256E	EAS_ERR_G2SS_SESSION_OPEN 	Cannot open a Secure Store session when one is already open.
9257E	EAS_ERR_G2SS_NO_SESSION 	Cannot use Secure Store without a session.
9258E	EAS_ERR_G2SS_SESSION_OPEN_FAILED	Secure Store session could not be opened: {0}.
9259E	EAS_ERR_G2SS_ADMIN_LOGIN_FAILED	Secure Store admin login failed: {0}.
9260E	EAS_ERR_G2SS_USER_LOGIN_FAILED	Secure Store user login failed: {0}.
9261E	EAS_ERR_G2SS_PKCS11_ERROR	Secure Store function failed: {0}
9262E	EAS_ERR_G2SS_NOT_PKCS11 	Secure Store library appears to be corrupted.
9263I	EAS_ERR_G2SS_CLOSE	Secure Store closed
9264E	EAS_ERR_G2SS_LOGOUT_FAILED	Secure Store logout failed: {0}.
9265E	EAS_ERR_G2SS_NEED_RW_SESSION 	Secure Store session must be read/write.
9266E	EAS_ERR_G2SS_UNABLE_TO_VERIFY_KEY 	Secure Store key does not meet requirements.
9267E	EAS_ERR_G2SS_UNABLE_TO_CREATE_KEY 	Secure Store key creation failed.
9268E	EAS_ERR_G2SS_UNABLE_TO_CHANGE_PIN	Secure Store password change failed: {0}.
9269E	EAS_ERR_G2SS_INVALID_OLD_CREDENTIAL 	Secure Store old credential is invalid.
9270E	EAS_ERR_G2SS_INVALID_NEW_CREDENTIAL 	Secure Store new credential is invalid.
9271E	EAS_ERR_G2SS_OUT_OF_MEMORY 	Secure Store out of memory.
9272E	EAS_ERR_G2SS_FIND_INIT_FAILED	Secure Store object locating failed: {0}.
9273E	EAS_ERR_G2SS_FIND_FAILED	Secure Store object find failed: {0}.
9274E	EAS_ERR_G2SS_CRYPTO_SETUP_FAILED	Secure Store setup of encryption failed: {0}.
9275E	EAS_ERR_G2SS_ENCRYPT_START_FAILED	Secure Store unable to start encryption: {0}.
9276E	EAS_ERR_G2SS_ENCRYPT_SIZE_FAILED	Secure Store unable to get the size of encrypted data: {0}.
9277E	EAS_ERR_G2SS_ENCRYPT_FAILED	Secure Store encryption failed: {0}.
9278E	EAS_ERR_G2SS_DECRYPT_START_FAILED	Secure Store unable to start decryption: {0}.
9279E	EAS_ERR_G2SS_DECRYPT_FAILED	Secure Store decryption failed: {0}.
9280E	EAS_ERR_G2SS_OBJECT_SAVE_FAILED	Secure Store unable to save object: {0}.
9281E	EAS_ERR_G2SS_OBJECT_DELETE_FAILED	Secure Store unable to delete object: {0}.
9282E	EAS_ERR_G2SS_OBJECT_CHANGE_FAILED	Secure Store unable to modify object: {0}.
9283E	EAS_ERR_G2SS_UNINITIALISED 	Secure Store has not been initialized
9284E	EAS_ERR_G2SS_INVALID_SLOT_ID	Can not obtain info on specified slot. Possibly invalid slot ID specified in Secure Store URL: {0}
9285E	EAS_ERR_G2SS_NO_TOKEN_IN_SLOT	No security token present in slot specified by Secure Store URL: slot ID = {0}
9286E	EAS_ERR_G2SS_TOKEN_NOT_FOUND	Can not obtain info for security token. Possibly invalid token label and/or slot ID specified in Secure Store URL: {0}
9287E	EAS_ERR_G2SS_TOKEN_IMPL_ERROR	An internal error occurred in the security token implementation library: Return Code = {0}
9288E	EAS_ERR_G2SS_USER_PIN_PROMPT_FAILED 	Was unable to prompt user for security token authentication.
9289E	EAS_ERR_G2SS_LABEL_CHANGED_SINCE_CONFIG_INIT 	Secure Store has been reconfigured since loading.
9290E	EAS_ERR_G2SS_OBJECT_NOT_FOUND	Secure Store does not have an object called {0}.
9291E	EAS_ERR_G2SS_OBJECT_NAME_TOO_LONG	Secure Store does not not allow an object name as long as '{0}'.
9292E	EAS_ERR_G2SS_NO_PASSWORD 	No password supplied
9293E	EAS_ERR_G2SS_NO_SEC_STORE_PREFIX	Secure Store expects a different format
9294E	EAS_ERR_G2SS_SEC_STORE_VALUE_BAD 	The exported value appears to be corrupted
9295E	EAS_ERR_G2SS_NO_DATA_OBJECTS 	There are no Secure Store objects stored on the token
9296E	EAS_ERR_G2SS_SEC_STORE_ARCHIVE_BAD	The exported archive appears to be corrupted around object {0}
9297E	EAS_ERR_G2SS_FILE_NOT_FOUND	Secure Store failed to open {0}
9298E	EAS_ERR_G2SS_FILE_CONTENTS_BAD	Secure Store contents of {0} not usable.
9299E	EAS_ERR_G2SS_CLASS_NOT_INIT 	Secure Store internal error.
9300E	EAS_ERR_G2SS_PASSWORD_CHECK_ERROR	Secure Store internal error
9301E	EAS_ERR_MISSING_SEQUENCE_ENTRY	Missing Sequence Entry[{0}] in the SYSTEM_SEQUENCE table!
9305E	EAS_ERR_SEQUENCE_RETRIES_FAILED	Retries failed to retrieve Sequence Entry[{0}] in the SYSTEM_SEQUENCE table!  This may mean the CACHE_SIZE is too small.
9306E	EAS_ERR_SEQUENCE_CACHE_SIZE_INVALID	Cache size [{1}] for Sequence [{0}] is invalid.
9307E	EAS_ERR_SEQUENCE_DB_TYPE_INVALID	Sequence counting is not supported on database type [{0}]
9308E	EAS_ERR_MISSING_STATUS_ENTRY	Could not retrieve status entry[{0}] in the SYS_STATUS table!
9309E	EAS_ERR_SEQUENCE_HAS_BEEN_RESET	Sequence entry[{0}] has been reset.
9310E	EAS_ERR_INVALID_STATUS_ENTRY_VALUE	Invalid value for status entry[{0}] in the SYS_STATUS table!
9401E	EAS_ERR_G2SS_INVALID_TIMEOUT	Secure Store expects a number for timeout: {0}.
9402E	EAS_ERR_G2SS_INVALID_MUTEX_NAME	Secure Store cannot
9403E	EAS_ERR_G2SS_MUTEX_WAIT_FAILED	Secure Store failure
9404E	EAS_ERR_G2SS_MUTEX_TIME_ERROR	Secure Store error
9405E	EAS_ERR_G2SS_MUTEX_RELEASE_FAILED	Secure Store failure
9406E	EAS_ERR_G2SS_SESSION_MUST_NOT_BE_OPEN 	Secure Store cannot fetch a value with sync if a session is already open.
9407E	EAS_ERR_G2SS_MUTEX_MUST_BE_ACQUIRED 	Secure Store must acquire the mutex before synchronized get.
9408E	EAS_ERR_G2SS_PASSWORD_INADEQUATE	The provided password is not strong enough: {0}
9409E	EAS_ERR_G2SS_FUNCTION_LIST_NOT_SET 	The security token interface is not yet set
9410E	EAS_ERR_G2SS_PKCS_INIT_FAILED	Initializing token driver failed {0}
9411E	EAS_ERR_G2SS_PKCS_FINAL_FAILED	Finalizing token driver failed {0}
9412E	EAS_ERR_G2SS_MUTEX_ACQUIRE_FAILED 	Secure Store was unable to acquire mutex
9413E	EAS_ERR_G2SS_INCORRECT_PASSWORD 	The export file password appears to be incorrect.
9501E	EAS_ERR_FAILED_TO_CONVERT_TO_UTF8	Failed to convert message to UTF-8 [{0}]
9502E	EAS_ERR_FAILED_TO_CONVERT_FROM_UTF8	Failed to convert data from UTF-8 with error: [{0}]
9503E	EAS_ERR_UTF8_CONVERTER_OPENING_FAILURE	Failed to open UTF-8 converter [{0}]
9601E	EAS_ERR_CNT_HANDLED_BY_TWO_TRANSPORTS	File {0} being handled by two transports.
9602E	EAS_ERR_CANT_INCREASE_UNREGISTERED_COUNT_FILE	Transport processing {0} tried to increase count file without registering the file with the count file handler.
9603E	EAS_ERR_CANT_DECREASE_COUNT_FILE	Transport processing {0} tried to decrease count file.
9604E	EAS_ERR_CANT_OPEN_COUNT_FILE_TO_WRITE	Can't open existing count file '{0}' for write.  Please check the permissions of this file and ensure it can be written to by this user.
9605E	EAS_ERR_CANT_CREATE_COUNT_FILE	Can't create new count file '{0}'.  Please check the permissions of the directory and ensure it can be written to by this user. 
9606E	EAS_ERR_OMITTED_UNFINISHED_FILE_DURING_RESTART	Unfinished file '{0}' was listed in the count file, but omitted during restart. Please check that all unfinished files are handled by a transport.
9607E	EAS_ERR_COUNT_FILE_DATAFILE_DOES_NOT_MATCH_REQUESTED_DATAFILE	Count file datafile
9608E	EAS_ERR_CANT_OPEN_COUNT_FILE_FOR_READ	Can't open count file '{0}' for read. Please check that the file exists and the permissions of this file and ensure it can be read by this user.
9701E	EAS_ERR_CANT_RETRIEVE_INDEX_FROM_MEMORY_ROW	Cannot retrieve index[{0}] from memory row of key[{1}], out of range!
9703E	EAS_ERR_MEMTBL_COL_INDEX_TOO_BIG 	Current field in memory row is passed end of row
7301E	EAS_ERR_ANOTHER_APPLICATION_IS_BOUND_TO_PORT	Another application is already bound to port
7302E	EAS_ERR_FAILED_TO_SEND	Failed to send {0}.
7303E	EAS_ERR_MANDATORY_SEGMENT_WITH_MISSING_REQUIREMENTS	Mandatory segment with missing requirements:
7304E	EAS_ERR_MISSING_XML_NODE 	Null xml node found
7305E	EAS_ERR_MISSING_JSON_ROOT_ELEMENT 	No root element name in json TEMPLATE
7306E	EAS_ERR_XML_CONFIG_ERROR 	Config error: Missing /*/TEMPLATE
7307E	EAS_ERR_PARSER_ZERO_THREAD_COUNT 	Thread count 0 for parser.
7308E	EAS_ERR_XML_GENERATION_FAILED 	XML generation failed
7309E	EAS_ERR_NO_FIELDS_IN_XML_TEMPLATE 	No fields found in XML template
7310E	EAS_ERR_BAD_ID_OUTSIDE_COMMIT_WINDOW	Bad ID {0}. Outside of commit window, [{1} ..  {2}]
7311E	EAS_ERR_FAILED_TO_OPEN_CONVERTER	Failed to open converter [{0}]
7312E	EAS_ERR_FAILED_TO_OPEN	Failed to open [{0}]
7313E	EAS_ERR_MANDATORY_ELEMENT_WITH_MISSING_FIELD	Mandatory element with missing field: {0}
7314E	EAS_ERR_MANDATORY_ELEMENT_WITH_EMPTY_FIELD	Mandatory element with empty field: {0}
7315E	EAS_ERR_RECORD_TOO_SHORT	Record too short: [{0}]
7316E	EAS_ERR_INVALID_FIELD	Invalid Field, {0}: {1}
7317E	EAS_ERR_FAILED_TO_OPEN_FILE	Failed to open file: {0}
7318E	EAS_ERR_FAILED_TO_PARSE	Failed to parse {0}
7319E	EAS_ERR_FAILED_TO_OPEN_FOR_WRITE	Failed to open {0} for write
7321E	EAS_ERR_UMF_MESSAGE_PROCESSED_WITH_FATAL_ERROR 	UMF message processed with FATAL error returned.
7322E	EAS_ERR_UMF_MESSAGE_PROCESSED_WITH_UNKNOWN_ERROR	UMF message processed with unknown error returned {0}.
7323E	EAS_ERR_UNKNOWN_ERROR_READING_SOURCE 	Unknown error when reading from source.
7424E	EAS_ERR_XLITERATOR_INIT_FAILED 	Transliterator initialization failed
7325E	EAS_ERR_FILENAME_TOO_LONG	Filename [{0}] exceeds maximum OS limit [{1}]
7426E	EAS_ERR_XLITERATOR_FAILED 	Transliteration failed
7330E	EAS_ERR_MAPPING_FILE_NOT_SPECIFIED 	CSV file type specified, but no mapping file was specified. Mapping file must be specified.
7331E	EAS_ERROR_UNABLE_TO_OPEN_MAPPING_FILE	Failed to open mapping file [{0}]
7332E	EAS_ERROR_UNABLE_TO_READ_MAPPING_FILE	Failed to read mapping file [{0}], inner exception [{1}]
7333E	EAS_ERROR_MAPPING_FILE_IS_MALFORMED	Problem loading mapping file into XML document. Mapping file [{0}] - File is malformed.
7334E	EAS_ERR_PARSING_CONVERTED_CSV_RECORD	Error parsing converted CSV document into XML. Document text: [{0}]
7335E	EAS_ERR_UNABLE_TO_FIND_COLUMNS_NODE_IN_CSV_MAPPING_FILE 	Cannot locate <COLUMNS> node in CSV mapping file. Check mapping file.
7336E	EAS_ERR_CSV_TO_UMF_CONVERTER_NOT_INITIALIZED 	Attempt to use CSVToUMFConverter without initializing it.
7337E	EAS_ERR_CSV_HEADER_FIELD_COUNT_MISMATCH	The number of fields in the CSV header [{0}] does not match the count specified in the mapping file [{1}]
7338E	EAS_ERR_CSV_HEADER_FIELD_NAME_MISMATCH	Name of field [{0}, {1}] in the CSV header does not match the name specified in the mapping file [{2}]
7339E	EAS_WRN_CSV_MAPFILE_COLUMN_COUNT_MISMATCH	The actual number of columns in the data row [{0}] doesn't match the number specified in the mapping file [{1}]. Record rejected.
7340E	EAS_WRN_CSV_UMFDOC_COLUMN_COUNT_MISMATCH	There were fewer columns in the data record [{0}] than required by the UMF_DOC template. [{1}]
7341E	EAS_ERR_FAILED_TO_OPEN_CSV_BAD_RECORD_FILE	Unable to open the CSV bad record file [{0}]
